Freq.	V(vout)
1.58124803927037e+002	(-9.90184421985461e-004dB,-9.65290295228154e-001°)
1.58489319246110e+002	(-9.90921141068074e-004dB,-9.67515476280232e-001°)
1.58854674859776e+002	(-9.91661260131436e-004dB,-9.69745786607109e-001°)
1.59220872705115e+002	(-9.92404794846596e-004dB,-9.71981238030926e-001°)
1.59587914723672e+002	(-9.93151760990706e-004dB,-9.74221842401063e-001°)
1.59955802861465e+002	(-9.93902174360213e-004dB,-9.76467611594193e-001°)
1.60324539069002e+002	(-9.94656050931924e-004dB,-9.78718557514370e-001°)
1.60694125301286e+002	(-9.95413406601644e-004dB,-9.80974692093050e-001°)
1.61064563517825e+002	(-9.96174257489900e-004dB,-9.83236027289207e-001°)
1.61435855682647e+002	(-9.96938619674795e-004dB,-9.85502575089345e-001°)
1.61808003764305e+002	(-9.97706509402254e-004dB,-9.87774347507596e-001°)
1.62181009735891e+002	(-9.98477942903745e-004dB,-9.90051356585778e-001°)
1.62554875575047e+002	(-9.99252936566985e-004dB,-9.92333614393440e-001°)
1.62929603263970e+002	(-1.00003150679320e-003dB,-9.94621133027947e-001°)
1.63305194789432e+002	(-1.00081367009841e-003dB,-9.96913924614536e-001°)
1.63681652142779e+002	(-1.00159944310953e-003dB,-9.99212001306375e-001°)
1.64058977319952e+002	(-1.00238884238214e-003dB,-1.00151537528464e+000°)
1.64437172321491e+002	(-1.00318188471678e-003dB,-1.00382405875856e+000°)
1.64816239152549e+002	(-1.00397858691885e-003dB,-1.00613806396552e+000°)
1.65196179822900e+002	(-1.00477896582747e-003dB,-1.00845740317105e+000°)
1.65576996346951e+002	(-1.00558303847954e-003dB,-1.01078208866900e+000°)
1.65958690743754e+002	(-1.00639082186080e-003dB,-1.01311213278150e+000°)
1.66341265037015e+002	(-1.00720233312195e-003dB,-1.01544754785908e+000°)
1.66724721255104e+002	(-1.00801758945904e-003dB,-1.01778834628074e+000°)
1.67109061431069e+002	(-1.00883660814525e-003dB,-1.02013454045397e+000°)
1.67494287602642e+002	(-1.00965940654254e-003dB,-1.02248614281487e+000°)
1.67880401812254e+002	(-1.01048600209868e-003dB,-1.02484316582820e+000°)
1.68267406107045e+002	(-1.01131641230681e-003dB,-1.02720562198740e+000°)
1.68655302538872e+002	(-1.01215065480280e-003dB,-1.02957352381473e+000°)
1.69044093164324e+002	(-1.01298874725630e-003dB,-1.03194688386128e+000°)
1.69433780044731e+002	(-1.01383070742087e-003dB,-1.03432571470707e+000°)
1.69824365246172e+002	(-1.01467655317064e-003dB,-1.03671002896109e+000°)
1.70215850839493e+002	(-1.01552630240000e-003dB,-1.03909983926138e+000°)
