time	V(vin)	V(vout)
1.008665277444778e-005	-6.431562e-001	-5.337728e-001
1.008676078543855e-005	-6.431944e-001	-5.338135e-001
1.008679675421761e-005	-6.432071e-001	-5.338257e-001
1.008682984034909e-005	-6.432188e-001	-5.338346e-001
1.008684692786162e-005	-6.432248e-001	-5.338382e-001
1.008686883939401e-005	-6.432325e-001	-5.338421e-001
1.008691266245878e-005	-6.432480e-001	-5.338482e-001
1.008696530353966e-005	-6.432666e-001	-5.338532e-001
1.008703049209225e-005	-6.432896e-001	-5.338575e-001
1.008710271067311e-005	-6.433151e-001	-5.338609e-001
1.008719728158611e-005	-6.433485e-001	-5.338644e-001
1.008731420209365e-005	-6.433898e-001	-5.338682e-001
1.008748169844046e-005	-6.434489e-001	-5.338734e-001
1.008772011549084e-005	-6.435331e-001	-5.338807e-001
1.008814408813829e-005	-6.436828e-001	-5.338937e-001
1.009407970520257e-005	-6.457785e-001	-5.340881e-001
1.010010101010101e-005	-6.479044e-001	-5.343074e-001
1.011204040404037e-005	-6.520923e-001	-5.347541e-001
1.012397979797973e-005	-6.562797e-001	-5.351865e-001
1.013591919191909e-005	-6.604667e-001	-5.356045e-001
1.014785858585845e-005	-6.646534e-001	-5.360081e-001
1.015979797979781e-005	-6.688396e-001	-5.363973e-001
1.017173737373717e-005	-6.730254e-001	-5.367721e-001
1.018367676767653e-005	-6.772107e-001	-5.371326e-001
1.019525594932798e-005	-6.812645e-001	-5.374706e-001
1.020683513097943e-005	-6.853125e-001	-5.377981e-001
1.021841431263089e-005	-6.893548e-001	-5.381149e-001
1.022999349428234e-005	-6.933914e-001	-5.384211e-001
1.024157267593379e-005	-6.974224e-001	-5.387168e-001
1.025315185758524e-005	-7.014476e-001	-5.390018e-001
1.026473103923670e-005	-7.054672e-001	-5.392762e-001
1.030750232520474e-005	-7.203368e-001	-5.402150e-001
1.034633565837136e-005	-7.337486e-001	-5.409709e-001
1.040689344017747e-005	-7.546470e-001	-5.419897e-001
1.044201345717991e-005	-7.666775e-001	-5.425020e-001
1.050105010501050e-005	-7.869007e-001	-5.432531e-001
1.052914611861245e-005	-7.964426e-001	-5.435655e-001
1.056660747008171e-005	-8.091651e-001	-5.439461e-001
1.060855237630445e-005	-8.233873e-001	-5.443248e-001
1.065350599806757e-005	-8.385167e-001	-5.446832e-001
1.070706392324578e-005	-8.565229e-001	-5.450534e-001
1.074302682065628e-005	-8.685121e-001	-5.452717e-001
1.080108010801080e-005	-8.878657e-001	-5.455803e-001
1.082985042593919e-005	-8.973621e-001	-5.457145e-001
1.086821084984372e-005	-9.100240e-001	-5.458782e-001
1.090876219379181e-005	-9.233829e-001	-5.460327e-001
1.095479470247724e-005	-9.384199e-001	-5.461884e-001
1.100723777783572e-005	-9.555293e-001	-5.463433e-001
1.105089865740221e-005	-9.696374e-001	-5.464563e-001
1.110000000000000e-005	-9.855034e-001	-5.465686e-001
1.110024739616819e-005	-9.855836e-001	-5.465691e-001
1.110049479233638e-005	-9.856636e-001	-5.465696e-001
1.110074218850456e-005	-9.857434e-001	-5.465700e-001
1.110098958467275e-005	-9.858231e-001	-5.465704e-001
1.110123698084094e-005	-9.859025e-001	-5.465707e-001
1.110148437700913e-005	-9.859817e-001	-5.465710e-001
1.110173177317732e-005	-9.860607e-001	-5.465713e-001
1.110244224422442e-005	-9.862877e-001	-5.465719e-001
1.110386318631863e-005	-9.867416e-001	-5.465726e-001
1.110670507050704e-005	-9.876496e-001	-5.465732e-001
1.112375637563753e-005	-9.930971e-001	-5.465713e-001
1.120000000000000e-005	-1.017455e+000	-5.464417e-001
1.137250654200825e-005	-1.071806e+000	-5.459330e-001
1.154501308401649e-005	-1.124849e+000	-5.454359e-001
1.171751962602473e-005	-1.176582e+000	-5.449504e-001
1.189002616803298e-005	-1.227007e+000	-5.444766e-001
1.206253271004122e-005	-1.276122e+000	-5.440145e-001
1.223503925204947e-005	-1.323929e+000	-5.435640e-001
1.240754579405771e-005	-1.370427e+000	-5.431251e-001
1.247899507620331e-005	-1.389192e+000	-5.429462e-001
